audio_filepath,duration,text,gender,age-group,primary_language,native_place_state,native_place_district,highest_qualification,job_category,occupation_domain
audio/281474976895414_f1594_chunk_0.wav,0.2885625,Tree,Male,18-30,Konkani,Goa,South Goa,Post Graduate,Full Time,Technology and Services
audio/281474976903892_f1630_chunk_0.wav,0.2886875,Four,Female,45-60,Nepali,Assam,Kamrup,Graduate,Full Time,Education and Research
audio/281474976897286_f1125_chunk_0.wav,0.2886875,Skip,Female,30-45,Bengali,West Bengal,Kolkata,Post Graduate,Part Time,Education and Research
audio/281474976925703_f2473_chunk_0.wav,0.289875,Go,Female,18-30,Dogri,Jammu Kashmir,Jammu,Graduate,Other,Education and Research
audio/281474976895474_f759_chunk_0.wav,0.29175,Skip,Female,30-45,Urdu,Karnataka,Bangalore Urban,Post Graduate,Part Time,Education and Research
audio/281474976896933_f3077_chunk_0.wav,0.2935,Agree,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976898095_f1465_chunk_0.wav,0.29375,Jump,Female,18-30,Odia,Odisha,Khordha,Post Graduate,Full Time,Transportation and Logistics
audio/281474976895467_f2378_chunk_0.wav,0.294,Play,Female,30-45,Urdu,Karnataka,Bangalore Urban,Post Graduate,Part Time,Education and Research
audio/281474976895480_f239_chunk_0.wav,0.2945,Jump,Female,30-45,Urdu,Karnataka,Bangalore Urban,Post Graduate,Part Time,Education and Research
audio/281474976897863_f1658_chunk_0.wav,0.295125,Right,Male,45-60,Telugu,Telangana,Hyderabad,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976896932_f2663_chunk_0.wav,0.296375,Yes,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976894246_f2832_chunk_0.wav,0.297,Up,Female,30-45,Kashmiri,Jammu Kashmir,Srinagar,Doctoral (PhD) or higher level,Other,Education and Research
audio/281474976893409_f59_chunk_0.wav,0.2983125,Right,Female,30-45,Kannada,Karnataka,Gulbarga,Post Graduate,Full Time,Technology and Services
audio/281474976897281_f1129_chunk_0.wav,0.30075,Six,Female,30-45,Bengali,West Bengal,Kolkata,Post Graduate,Part Time,Education and Research
audio/281474976899767_f1413_chunk_0.wav,0.3019375,Play,Female,30-45,Odia,Odisha,Cuttack,Graduate,Other,Healthcare (Medical &amp; Pharma)
audio/281474976895177_f1367_chunk_0.wav,0.3021875,Six,Male,18-30,Malayalam,Kerala,Malappuram,Graduate,Full Time,Technology and Services
audio/281474976895769_f3063_chunk_0.wav,0.302875,Two,Female,45-60,Telugu,Telangana,Hyderabad,Post Graduate,Full Time,Education and Research
audio/281474976903884_f1631_chunk_0.wav,0.3044375,Left,Female,45-60,Nepali,Assam,Kamrup,Graduate,Full Time,Education and Research
audio/281474976899951_f1021_chunk_0.wav,0.30575,Eight,Male,30-45,Maithili,Bihar,Samastipur,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976925482_f2437_chunk_0.wav,0.306625,Cat,Female,18-30,Kannada,Karnataka,Gulbarga,Senior Secondary Level at School (10+2),Other,Education and Research
audio/281474976898113_f1463_chunk_0.wav,0.3076875,Tree,Female,18-30,Odia,Odisha,Khordha,Post Graduate,Full Time,Transportation and Logistics
audio/281474976896568_f1498_chunk_0.wav,0.309375,Six,Female,60+,Tamil,Madhya Pradesh,Ujjain,Post Graduate,Full Time,Education and Research
audio/281474976897873_f1662_chunk_0.wav,0.31,Three,Male,45-60,Telugu,Telangana,Hyderabad,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976899550_f2427_chunk_0.wav,0.31,One,Female,45-60,Bengali,West Bengal,South 24 Parganas,Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976895412_f1595_chunk_0.wav,0.3116875,Three,Male,18-30,Konkani,Goa,South Goa,Post Graduate,Full Time,Technology and Services
audio/281474976895299_f147_chunk_0.wav,0.3138125,Three,Male,30-45,Kashmiri,Jammu Kashmir,Anantnag,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976897635_f3014_chunk_0.wav,0.314875,Play,Male,30-45,Tamil,Karnataka,Bangalore Rural,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976897628_f945_chunk_0.wav,0.315875,Skip,Male,30-45,Tamil,Karnataka,Bangalore Rural,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976885086_f1483_chunk_0.wav,0.3160625,Eight,Male,18-30,Assamese,Assam,Kamrup Metropolitan,Post Graduate,Full Time,Education and Research
audio/281474976901137_f77_chunk_0.wav,0.316375,Cat,Female,45-60,Maithili,Bihar,Darbhanga,Graduate,Full Time,Education and Research
audio/281474976897506_f907_chunk_0.wav,0.316375,Two,Male,30-45,Sindhi,Rajasthan,Ajmer,Post Graduate,Part Time,Government
audio/281474976894923_f221_chunk_0.wav,0.3249375,On,Female,30-45,Malayalam,Kerala,Pathanamthitta,Post Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976901774_f2591_chunk_0.wav,0.32575,Five,Female,30-45,Assamese,Assam,Biswanath,Doctoral (PhD) or higher level,Full Time,Information and Media
audio/281474976902157_f633_chunk_0.wav,0.3258125,Five,Female,45-60,Urdu,Maharashtra,Satara,Post Graduate,Full Time,Education and Research
audio/281474976897632_f307_chunk_0.wav,0.3259375,Nine,Male,30-45,Tamil,Karnataka,Bangalore Rural,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976893623_f1431_chunk_0.wav,0.327125,Nine,Male,30-45,Malayalam,Kerala,Palakkad,Post Graduate,Full Time,Technology and Services
audio/281474976893651_f818_chunk_0.wav,0.3278125,House,Male,60+,Marathi,Maharashtra,Solapur,Graduate,Full Time,Healthcare (Medical &amp; Pharma)
audio/281474976897375_f718_chunk_0.wav,0.3279375,Eight,Male,18-30,Odia,Odisha,Sundergarh,Post Graduate,Full Time,Education and Research
audio/281474976893819_f13_chunk_0.wav,0.328,Four,Female,18-30,Bodo,Assam,Kokrajhar,Post Graduate,Other,Education and Research
audio/281474976893620_f1434_chunk_0.wav,0.32825,Jump,Male,30-45,Malayalam,Kerala,Palakkad,Post Graduate,Full Time,Technology and Services
audio/281474976903205_f1348_chunk_0.wav,0.3283125,Jump,Female,45-60,Tamil,Tamil Nadu,Chennai,Post Graduate,Full Time,Technology and Services
audio/281474976895596_f2927_chunk_0.wav,0.3285625,Two,Male,18-30,Kannada,Karnataka,Bangalore Urban,Graduate,Part Time,Information and Media
audio/281474976895251_f735_chunk_0.wav,0.32925,Cat,Female,45-60,Dogri,Jammu Kashmir,Jammu,Doctoral (PhD) or higher level,Other,Education and Research
audio/281474976895416_f1586_chunk_0.wav,0.32975,Off,Male,18-30,Konkani,Goa,South Goa,Post Graduate,Full Time,Technology and Services
audio/281474976894253_f677_chunk_0.wav,0.3311875,Cat,Female,30-45,Kashmiri,Jammu Kashmir,Srinagar,Doctoral (PhD) or higher level,Other,Education and Research
audio/281474976898591_f205_chunk_0.wav,0.3319375,Play,Male,60+,Bengali,West Bengal,South 24 Parganas,Post Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976898593_f650_chunk_0.wav,0.332375,Up,Male,60+,Bengali,West Bengal,South 24 Parganas,Post Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976901136_f1619_chunk_0.wav,0.332375,Helped,Female,45-60,Maithili,Bihar,Darbhanga,Graduate,Full Time,Education and Research
audio/281474976897367_f109_chunk_0.wav,0.3324375,Two,Male,18-30,Odia,Odisha,Sundergarh,Post Graduate,Full Time,Education and Research
audio/281474976893627_f1429_chunk_0.wav,0.3340625,Eight,Male,30-45,Malayalam,Kerala,Palakkad,Post Graduate,Full Time,Technology and Services
audio/281474976895248_f441_chunk_0.wav,0.334125,Stop,Female,45-60,Dogri,Jammu Kashmir,Jammu,Doctoral (PhD) or higher level,Other,Education and Research
audio/281474976897631_f970_chunk_0.wav,0.335375,Dog,Male,30-45,Tamil,Karnataka,Bangalore Rural,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976891399_f2256_chunk_2.wav,0.3378125,to,Male,30-45,Malayalam,Kerala,Palakkad,Post Graduate,Full Time,Technology and Services
audio/281474976896060_f2410_chunk_0.wav,0.34075,Jump,Male,30-45,Kannada,Karnataka,Bangalore Urban,Post Graduate,Full Time,Education and Research
audio/281474976895608_f2974_chunk_0.wav,0.34225,Play,Male,18-30,Kannada,Karnataka,Bangalore Urban,Graduate,Part Time,Information and Media
audio/281474976903903_f2198_chunk_3.wav,0.34225,food,Female,45-60,Nepali,Assam,Kamrup,Graduate,Full Time,Education and Research
audio/281474976903199_f1343_chunk_0.wav,0.3423125,One,Female,45-60,Tamil,Tamil Nadu,Chennai,Post Graduate,Full Time,Technology and Services
audio/281474976898110_f1472_chunk_0.wav,0.3425,Time,Female,18-30,Odia,Odisha,Khordha,Post Graduate,Full Time,Transportation and Logistics
audio/281474976906764_f2452_chunk_0.wav,0.3464375,Left,Male,18-30,Assamese,Assam,Lakhimpur,Post Graduate,Full Time,Technology and Services
audio/281474976900324_f734_chunk_0.wav,0.346625,Skip,Male,45-60,Kashmiri,Jammu Kashmir,Srinagar,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976895621_f1135_chunk_0.wav,0.347125,Eight,Male,30-45,Assamese,Assam,Nagaon,Post Graduate,Full Time,Education and Research
audio/281474976896742_f2813_chunk_0.wav,0.347875,On,Female,30-45,Sindhi,Gujarat,Ahmedabad,Post Graduate,Full Time,Information and Media
audio/281474976894316_f2600_chunk_0.wav,0.3509375,Two,Male,18-30,Bengali,West Bengal,Kolkata,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976895471_f775_chunk_0.wav,0.352125,Follow,Female,30-45,Urdu,Karnataka,Bangalore Urban,Post Graduate,Part Time,Education and Research
audio/281474976896067_f131_chunk_0.wav,0.352375,On,Male,30-45,Kannada,Karnataka,Bangalore Urban,Post Graduate,Full Time,Education and Research
audio/281474976895582_f1537_chunk_0.wav,0.353,Two,Female,18-30,Urdu,Maharashtra,Thane,Post Graduate,Full Time,Education and Research
audio/281474976897631_f2916_chunk_0.wav,0.356125,Dog,Male,30-45,Tamil,Karnataka,Bangalore Rural,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976901140_f1616_chunk_0.wav,0.357,Seven,Female,45-60,Maithili,Bihar,Darbhanga,Graduate,Full Time,Education and Research
audio/281474976884078_f2103_chunk_1.wav,0.3571875,Shilpa,Female,30-45,Hindi,Goa,South Goa,Post Graduate,Full Time,Technology and Services
audio/281474976897880_f1666_chunk_0.wav,0.3589375,Stop,Male,45-60,Telugu,Telangana,Hyderabad,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976899562_f778_chunk_0.wav,0.359,Help,Female,45-60,Bengali,West Bengal,South 24 Parganas,Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976897368_f2494_chunk_0.wav,0.3594375,Three,Male,18-30,Odia,Odisha,Sundergarh,Post Graduate,Full Time,Education and Research
audio/281474976896928_f2744_chunk_0.wav,0.361125,On,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976898588_f618_chunk_0.wav,0.3613125,Zero,Male,60+,Bengali,West Bengal,South 24 Parganas,Post Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976897500_f332_chunk_0.wav,0.3615,Dog,Male,30-45,Sindhi,Rajasthan,Ajmer,Post Graduate,Part Time,Government
audio/281474976896056_f280_chunk_0.wav,0.3625625,Agree,Male,30-45,Kannada,Karnataka,Bangalore Urban,Post Graduate,Full Time,Education and Research
audio/281474976901773_f2590_chunk_0.wav,0.36425,Help,Female,30-45,Assamese,Assam,Biswanath,Doctoral (PhD) or higher level,Full Time,Information and Media
audio/281474976895622_f2595_chunk_0.wav,0.3646875,Two,Male,30-45,Assamese,Assam,Nagaon,Post Graduate,Full Time,Education and Research
audio/281474976925709_f2475_chunk_0.wav,0.366125,Up,Female,18-30,Dogri,Jammu Kashmir,Jammu,Graduate,Other,Education and Research
audio/281474976893616_f1430_chunk_0.wav,0.3661875,next,Male,30-45,Malayalam,Kerala,Palakkad,Post Graduate,Full Time,Technology and Services
audio/281474976895171_f1362_chunk_0.wav,0.36625,Happy,Male,18-30,Malayalam,Kerala,Malappuram,Graduate,Full Time,Technology and Services
audio/281474976895409_f1589_chunk_0.wav,0.36675,Go,Male,18-30,Konkani,Goa,South Goa,Post Graduate,Full Time,Technology and Services
audio/281474976896935_f1040_chunk_0.wav,0.366875,Help,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976925485_f2438_chunk_0.wav,0.367125,Down,Female,18-30,Kannada,Karnataka,Gulbarga,Senior Secondary Level at School (10+2),Other,Education and Research
audio/281474976898606_f2972_chunk_0.wav,0.3689375,Dog,Male,60+,Bengali,West Bengal,South 24 Parganas,Post Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976897371_f108_chunk_0.wav,0.369125,Cat,Male,18-30,Odia,Odisha,Sundergarh,Post Graduate,Full Time,Education and Research
audio/281474976925472_f2685_chunk_0.wav,0.36925,Four,Female,18-30,Kannada,Karnataka,Gulbarga,Senior Secondary Level at School (10+2),Other,Education and Research
audio/281474976898592_f617_chunk_0.wav,0.3698125,Learn,Male,60+,Bengali,West Bengal,South 24 Parganas,Post Graduate,Other,Financial Services (Banking and Insurance)
audio/281474976895589_f1539_chunk_0.wav,0.370375,tree,Female,18-30,Urdu,Maharashtra,Thane,Post Graduate,Full Time,Education and Research
audio/281474976895444_f2651_chunk_0.wav,0.370625,Bed,Female,18-30,Malayalam,Kerala,Pathanamthitta,Post Graduate,Full Time,Education and Research
audio/281474976896062_f953_chunk_0.wav,0.37125,Skip,Male,30-45,Kannada,Karnataka,Bangalore Urban,Post Graduate,Full Time,Education and Research
audio/281474976896168_f28_chunk_0.wav,0.371375,Up,Male,60+,Kannada,Telangana,Hyderabad,Post Graduate,Full Time,Technology and Services
audio/281474976899938_f83_chunk_0.wav,0.373375,Three,Male,30-45,Maithili,Bihar,Samastipur,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976895186_f1368_chunk_0.wav,0.37475,Tree,Male,18-30,Malayalam,Kerala,Malappuram,Graduate,Full Time,Technology and Services
audio/281474976897319_f499_chunk_0.wav,0.3754375,Eight,Female,30-45,Punjabi,Punjab,Patiala,Post Graduate,Part Time,Education and Research
audio/281474976893647_f352_chunk_0.wav,0.3758125,One,Male,60+,Marathi,Maharashtra,Solapur,Graduate,Full Time,Healthcare (Medical &amp; Pharma)
audio/281474976894310_f1070_chunk_0.wav,0.375875,Cat,Male,18-30,Bengali,West Bengal,Kolkata,Doctoral (PhD) or higher level,Full Time,Education and Research
audio/281474976896181_f405_chunk_0.wav,0.377125,Bed,Male,60+,Kannada,Telangana,Hyderabad,Post Graduate,Full Time,Technology and Services
audio/281474976897706_f2738_chunk_0.wav,0.3774375,Stop,Male,60+,Odia,Odisha,Sundergarh,Graduate,Freelance,Education and Research
audio/281474976893898_f31_chunk_0.wav,0.377875,Jump,Male,30-45,Bodo,Assam,Kokrajhar,Post Graduate,Other,Education and Research
audio/281474976901467_f603_chunk_0.wav,0.3780625,Skip,Male,45-60,Urdu,Gujarat,Ahmedabad,Diploma Holder,Other,Government
audio/281474976895411_f1588_chunk_0.wav,0.3789375,Eight,Male,18-30,Konkani,Goa,South Goa,Post Graduate,Full Time,Technology and Services
audio/281474976895479_f76_chunk_0.wav,0.37925,Yes,Female,30-45,Urdu,Karnataka,Bangalore Urban,Post Graduate,Part Time,Education and Research
audio/281474976895181_f1363_chunk_0.wav,0.3793125,Go,Male,18-30,Malayalam,Kerala,Malappuram,Graduate,Full Time,Technology and Services
audio/281474976896751_f2714_chunk_0.wav,0.3799375,Nine,Female,30-45,Sindhi,Gujarat,Ahmedabad,Post Graduate,Full Time,Information and Media
